Challenge,challange1,challange1,challange2,challange2,challange3,challange3,challange4,challange4,challange5,challange5,challange6,challange6,challange7,challange7,challange8,challange8,challange9,challange9,challange10,challange10,Total_MAE,Total_Accuracy
 ,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,MAE,Accuracy,,
dummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CookieMonster_2,0.3,0.728,0.384,0.672,0.43820224700000004,0.588014981,0.114,0.912,0.6759999999999999,0.386,2.082,0.406,0.8740000000000001,0.22,0.47,0.64,0.38529411799999996,0.629411765,0.324,0.722,0.6047496365,0.5903426745999999
CookieMonster,0.3,0.728,0.384,0.672,0.43820224700000004,0.588014981,0.114,0.912,0.6759999999999999,0.386,2.082,0.406,0.8740000000000001,0.22,0.47,0.64,0.38529411799999996,0.629411765,0.324,0.722,0.6047496365,0.5903426745999999
nlp-magic-encoder,0.3636363636363636,0.6818181818181818,0.0,1.0,0.3636363636363636,0.6363636363636364,0.037037037037037,0.9629629629629628,0.625,0.375,2.6666666666666665,0.3333333333333333,0.7730061349693251,0.2760736196319018,0.45,0.6579999999999999,0.4615384615384615,0.5384615384615384,0.3235294117647059,0.7352941176470589,0.6064050439248923,0.6197307390218613
alexvincentmorgan,0.364,0.682,0.408,0.664,0.464419476,0.595505618,0.136,0.9279999999999999,0.74,0.324,1.942,0.44,0.828,0.294,0.47200000000000003,0.644,0.41176470600000004,0.623529412,0.33399999999999996,0.732,0.6100184181999999,0.592703503
lbert,0.32,0.708,0.376,0.6759999999999999,0.441947566,0.621722846,0.182,0.868,0.6779999999999999,0.386,2.1180000000000003,0.35600000000000004,0.8140000000000001,0.298,0.486,0.624,0.420588235,0.6,0.314,0.746,0.6150535801,0.5883722845999999
one_shot_tomato,0.33,0.716,0.312,0.7140000000000001,0.449438202,0.597378277,0.10800000000000001,0.92,0.6559999999999999,0.408,2.2119999999999997,0.37799999999999995,0.9179999999999999,0.188,0.442,0.6559999999999999,0.43529411799999995,0.6,0.35,0.716,0.6212732319999998,0.5893378277
one_shot_tomato_2,0.33,0.716,0.312,0.7140000000000001,0.449438202,0.597378277,0.10800000000000001,0.92,0.6559999999999999,0.408,2.2119999999999997,0.37799999999999995,0.9179999999999999,0.188,0.442,0.6559999999999999,0.43529411799999995,0.6,0.35,0.716,0.6212732319999998,0.5893378277
CookieMonster_3,0.364,0.654,0.43,0.636,0.4157303370786517,0.602996254681648,0.256,0.78,0.424,0.5920000000000001,2.206,0.24,0.86,0.214,0.49,0.602,0.5,0.5264705882352941,0.33,0.71,0.6275730337078652,0.5557466842916943
